Sentence,Revision,Jaccard,Weighted Jaccard
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_008,0.3294663573085847,0.32777636686388867
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_017,0.38875878220140514,0.39612122136682976
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_026,0.6087962962962963,0.6350399874514108
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_035,0.5737327188940092,0.5984222263834403
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_044,0.4511627906976744,0.4615420360418049
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_053,0.4367816091954023,0.4573141482131268
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_062,0.5266821345707656,0.5407849685837606
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_071,0.6247139588100686,0.6508841315834295
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_080,0.5625,0.5855989588560412
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_089,0.8076923076923077,0.8368570193930468
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_098,0.6850574712643678,0.692889570961456
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_107,0.6719681908548708,0.6789440994428502
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_116,0.6427104722792608,0.6505349516741883
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_125,0.5857740585774058,0.6007064514200654
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_134,0.5216400911161732,0.5422790952414173
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_143,0.5011600928074246,0.5148054387996247
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_152,0.6145124716553289,0.6480861574266498
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_161,0.6568181818181819,0.6707207579301705
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_170,0.7795454545454545,0.7874751044499253
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_179,0.8224719101123595,0.8496857887593648
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_188,0.8387850467289719,0.857338502404341
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_197,0.7911832946635731,0.8103244481677548
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_206,0.7529411764705882,0.750471445321057
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_215,0.7367205542725174,0.7434575513480504
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_224,0.7563218390804598,0.7705453939238983
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_233,0.7274826789838337,0.745119190288909
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_242,0.6261682242990654,0.6484329972689776
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_251,0.6297169811320755,0.6486950613203926
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_260,0.8113207547169812,0.8141926468685734
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_269,0.8333333333333334,0.856259893157155
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_278,0.8125,0.829950164378564
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_287,0.8164705882352942,0.8187975209721948
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_296,0.6957547169811321,0.7012910143898241
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_305,0.8465116279069768,0.8746937883300652
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_314,0.6588785046728972,0.6810491300050953
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_323,0.8731707317073171,0.8717235332055747
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_332,0.8254716981132075,0.8232403610252484
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_341,0.8983451536643026,0.8928467811084326
"In the hotel laundry room, Emma burned Mary's shirt while ironing it, so the manager scolded",ckpt_350,0.8976190476190476,0.9061924221586775
"They had to eat a lot to gain the strength they had lost and be able to work, they had too much",ckpt_008,0.4198250728862974,0.39380270763840636
"They had to eat a lot to gain the strength they had lost and be able to work, they had too much",ckpt_017,0.49712643678160917,0.47347485939780926
"They had to eat a lot to gain the strength they had lost and be able to work, they had too much",ckpt_026,0.49002849002849,0.4777271158374771
"They had to eat a lot to gain the strength they had lost and be able to work, they had too much",ckpt_035,0.5515320334261838,0.5108785760175486
"They had to eat a lot to gain the strength they had lost and be able to work, they had too much",ckpt_044,0.5988700564971752,0.5472782343942598
"They had to eat a lot to gain the strength they had lost and be able to work, they had too much",ckpt_053,0.6193181818181818,0.5504958864243049
"They had to eat a lot to gain the strength they had lost and be able to work, they had too much",ckpt_062,0.5389048991354467,0.5202757181355288
"They had to eat a lot to gain the strength they had lost and be able to work, they had too much",ckpt_071,0.6062322946175638,0.5570784561325091
"They had to eat a lot to gain the strength they had lost and be able to work, they had too much",ckpt_080,0.5327635327635327,0.5113088260863049
"They had to eat a lot to gain the strength they had lost and be able to work, they had too much",ckpt_089,0.6136363636363636,0.5521157935817775
"They had to eat a lot to gain the strength they had lost and be able to work, they had too much",ckpt_098,0.5415472779369628,0.5262894105949528
"They had to eat a lot to gain the strength they had lost and be able to work, they had too much",ckpt_107,0.5465116279069767,0.5258808190560829
"They had to eat a lot to gain the strength they had lost and be able to work, they had too much",ckpt_116,0.6142857142857143,0.5613712806165633
"They had to eat a lot to gain the strength they had lost and be able to work, they had too much",ckpt_125,0.6096866096866097,0.554696995433828
